method,depth,n_estimators,optimize,voting,n_samples,alg,eps,run,acc
subsample,6,16,True,hard,9045,ID3,0.01,0,0.5274737423991155
subsample,6,16,True,hard,9045,ID3,0.01,1,0.5323383084577115
subsample,6,16,True,hard,9045,ID3,0.01,2,0.5268103924820343
subsample,6,16,True,hard,9045,ID3,0.01,3,0.5520176893311222
subsample,6,16,True,hard,9045,ID3,0.01,4,0.5041459369817579
subsample,6,16,True,hard,9045,ID3,0.05,0,0.5185185185185185
subsample,6,16,True,hard,9045,ID3,0.05,1,0.5611940298507463
subsample,6,16,True,hard,9045,ID3,0.05,2,0.5331122166943062
subsample,6,16,True,hard,9045,ID3,0.05,3,0.5127694859038142
subsample,6,16,True,hard,9045,ID3,0.05,4,0.5544499723604202
subsample,6,16,True,hard,9045,ID3,0.1,0,0.4690989496959646
subsample,6,16,True,hard,9045,ID3,0.1,1,0.5639579878385849
subsample,6,16,True,hard,9045,ID3,0.1,2,0.5123272526257601
subsample,6,16,True,hard,9045,ID3,0.1,3,0.5529021558872305
subsample,6,16,True,hard,9045,ID3,0.1,4,0.5603095632946379
subsample,6,16,True,hard,9045,ID3,0.5,0,0.6049751243781094
subsample,6,16,True,hard,9045,ID3,0.5,1,0.6320619126589276
subsample,6,16,True,hard,9045,ID3,0.5,2,0.6340519624101714
subsample,6,16,True,hard,9045,ID3,0.5,3,0.6457711442786069
subsample,6,16,True,hard,9045,ID3,0.5,4,0.6151464897733554
subsample,6,16,True,hard,9045,ID3,1.0,0,0.7039248203427307
subsample,6,16,True,hard,9045,ID3,1.0,1,0.7154228855721393
subsample,6,16,True,hard,9045,ID3,1.0,2,0.7367606412382531
subsample,6,16,True,hard,9045,ID3,1.0,3,0.7280265339966833
subsample,6,16,True,hard,9045,ID3,1.0,4,0.7326699834162521
subsample,6,16,False,hard,9045,ID3,0.01,0,0.5024875621890548
subsample,6,16,False,hard,9045,ID3,0.01,1,0.49021558872305143
subsample,6,16,False,hard,9045,ID3,0.01,2,0.4972913211719182
subsample,6,16,False,hard,9045,ID3,0.01,3,0.5002763957987839
subsample,6,16,False,hard,9045,ID3,0.01,4,0.49917081260364843
subsample,6,16,False,hard,9045,ID3,0.05,0,0.5077943615257048
subsample,6,16,False,hard,9045,ID3,0.05,1,0.5032614704256495
subsample,6,16,False,hard,9045,ID3,0.05,2,0.49154228855721394
subsample,6,16,False,hard,9045,ID3,0.05,3,0.5011608623548922
subsample,6,16,False,hard,9045,ID3,0.05,4,0.49906025428413486
subsample,6,16,False,hard,9045,ID3,0.1,0,0.5003869541182974
subsample,6,16,False,hard,9045,ID3,0.1,1,0.5003869541182974
subsample,6,16,False,hard,9045,ID3,0.1,2,0.49917081260364843
subsample,6,16,False,hard,9045,ID3,0.1,3,0.5054726368159204
subsample,6,16,False,hard,9045,ID3,0.1,4,0.49519071310116086
subsample,6,16,False,hard,9045,ID3,0.5,0,0.49695964621337757
subsample,6,16,False,hard,9045,ID3,0.5,1,0.5059148700939746
subsample,6,16,False,hard,9045,ID3,0.5,2,0.49906025428413486
subsample,6,16,False,hard,9045,ID3,0.5,3,0.49950248756218907
subsample,6,16,False,hard,9045,ID3,0.5,4,0.5010503040353786
subsample,6,16,False,hard,9045,ID3,1.0,0,0.49076838032061915
subsample,6,16,False,hard,9045,ID3,1.0,1,0.4976229961304588
subsample,6,16,False,hard,9045,ID3,1.0,2,0.5087893864013266
subsample,6,16,False,hard,9045,ID3,1.0,3,0.5039248203427308
subsample,6,16,False,hard,9045,ID3,1.0,4,0.5029297954671089
subsample,6,16,True,weight,9045,ID3,0.01,0,0.588391376451078
subsample,6,16,True,weight,9045,ID3,0.01,1,0.5760088446655611
subsample,6,16,True,weight,9045,ID3,0.01,2,0.6295190713101161
subsample,6,16,True,weight,9045,ID3,0.01,3,0.6417910447761194
subsample,6,16,True,weight,9045,ID3,0.01,4,0.5957987838584854
subsample,6,16,True,weight,9045,ID3,0.05,0,0.7049198452183527
subsample,6,16,True,weight,9045,ID3,0.05,1,0.7072415699281371
subsample,6,16,True,weight,9045,ID3,0.05,2,0.6927584300718629
subsample,6,16,True,weight,9045,ID3,0.05,3,0.7062465450525152
subsample,6,16,True,weight,9045,ID3,0.05,4,0.7067993366500829
subsample,6,16,True,weight,9045,ID3,0.1,0,0.7488114980652294
subsample,6,16,True,weight,9045,ID3,0.1,1,0.7511332227750138
subsample,6,16,True,weight,9045,ID3,0.1,2,0.7346600331674958
subsample,6,16,True,weight,9045,ID3,0.1,3,0.746489773355445
subsample,6,16,True,weight,9045,ID3,0.1,4,0.742620232172471
subsample,6,16,True,weight,9045,ID3,0.5,0,0.8080707573244886
subsample,6,16,True,weight,9045,ID3,0.5,1,0.8025428413488115
subsample,6,16,True,weight,9045,ID3,0.5,2,0.803869541182974
subsample,6,16,True,weight,9045,ID3,0.5,3,0.8060807075732449
subsample,6,16,True,weight,9045,ID3,0.5,4,0.8091763405196241
