method,depth,n_estimators,optimize,voting,n_samples,alg,eps,run,acc
subsample,2,1,True,hard,30,ID3,0.4,0,0.6
subsample,2,1,True,hard,30,ID3,0.4,1,0.5666666666666667
subsample,2,1,True,hard,30,ID3,0.4,2,0.4666666666666667
subsample,2,1,True,hard,30,ID3,0.4,3,0.5666666666666667
subsample,2,1,True,hard,30,ID3,0.4,4,0.5
subsample,2,1,True,hard,30,ID3,0.4,5,0.5333333333333333
subsample,2,1,True,hard,30,ID3,0.4,6,0.5666666666666667
subsample,2,1,True,hard,30,ID3,0.4,7,0.26666666666666666
subsample,2,1,True,hard,30,ID3,0.4,8,0.4666666666666667
subsample,2,1,True,hard,30,ID3,0.4,9,0.3333333333333333
subsample,2,1,True,hard,30,ID3,0.6,0,0.8666666666666667
subsample,2,1,True,hard,30,ID3,0.6,1,0.23333333333333334
subsample,2,1,True,hard,30,ID3,0.6,2,0.13333333333333333
subsample,2,1,True,hard,30,ID3,0.6,3,0.5
subsample,2,1,True,hard,30,ID3,0.6,4,0.4666666666666667
subsample,2,1,True,hard,30,ID3,0.6,5,0.4
subsample,2,1,True,hard,30,ID3,0.6,6,0.26666666666666666
subsample,2,1,True,hard,30,ID3,0.6,7,0.5666666666666667
subsample,2,1,True,hard,30,ID3,0.6,8,0.1
subsample,2,1,True,hard,30,ID3,0.6,9,0.2
subsample,2,1,True,hard,30,ID3,0.8,0,0.4
subsample,2,1,True,hard,30,ID3,0.8,1,0.26666666666666666
subsample,2,1,True,hard,30,ID3,0.8,2,0.13333333333333333
subsample,2,1,True,hard,30,ID3,0.8,3,0.4666666666666667
subsample,2,1,True,hard,30,ID3,0.8,4,0.5333333333333333
subsample,2,1,True,hard,30,ID3,0.8,5,0.3333333333333333
subsample,2,1,True,hard,30,ID3,0.8,6,0.13333333333333333
subsample,2,1,True,hard,30,ID3,0.8,7,0.3333333333333333
subsample,2,1,True,hard,30,ID3,0.8,8,0.4666666666666667
subsample,2,1,True,hard,30,ID3,0.8,9,0.1
subsample,2,1,True,hard,30,ID3,1.0,0,0.5666666666666667
subsample,2,1,True,hard,30,ID3,1.0,1,0.4666666666666667
subsample,2,1,True,hard,30,ID3,1.0,2,0.23333333333333334
subsample,2,1,True,hard,30,ID3,1.0,3,0.4666666666666667
