method,depth,n_estimators,optimize,voting,n_samples,alg,eps,run,acc
subsample,2,16,True,hard,125,ID3,0.4,0,0.36
subsample,2,16,True,hard,125,ID3,0.4,1,0.328
subsample,2,16,True,hard,125,ID3,0.4,2,0.408
subsample,2,16,True,hard,125,ID3,0.4,3,0.304
subsample,2,16,True,hard,125,ID3,0.4,4,0.368
subsample,2,16,True,hard,125,ID3,0.6,0,0.4
subsample,2,16,True,hard,125,ID3,0.6,1,0.52
subsample,2,16,True,hard,125,ID3,0.6,2,0.36
subsample,2,16,True,hard,125,ID3,0.6,3,0.4
subsample,2,16,True,hard,125,ID3,0.6,4,0.456
subsample,2,16,True,hard,125,ID3,0.8,0,0.456
subsample,2,16,True,hard,125,ID3,0.8,1,0.36
subsample,2,16,True,hard,125,ID3,0.8,2,0.352
subsample,2,16,True,hard,125,ID3,0.8,3,0.536
subsample,2,16,True,hard,125,ID3,0.8,4,0.352
subsample,2,16,True,hard,125,ID3,1.0,0,0.48
subsample,2,16,True,hard,125,ID3,1.0,1,0.464
subsample,2,16,True,hard,125,ID3,1.0,2,0.52
subsample,2,16,True,hard,125,ID3,1.0,3,0.52
subsample,2,16,True,hard,125,ID3,1.0,4,0.592
subsample,2,16,True,hard,125,ID3,2.0,0,0.6
subsample,2,16,True,hard,125,ID3,2.0,1,0.56
subsample,2,16,True,hard,125,ID3,2.0,2,0.632
subsample,2,16,True,hard,125,ID3,2.0,3,0.52
subsample,2,16,True,hard,125,ID3,2.0,4,0.6
subsample,2,16,False,hard,125,ID3,0.4,0,0.392
subsample,2,16,False,hard,125,ID3,0.4,1,0.296
subsample,2,16,False,hard,125,ID3,0.4,2,0.32
subsample,2,16,False,hard,125,ID3,0.4,3,0.376
subsample,2,16,False,hard,125,ID3,0.4,4,0.336
subsample,2,16,False,hard,125,ID3,0.6,0,0.296
subsample,2,16,False,hard,125,ID3,0.6,1,0.36
subsample,2,16,False,hard,125,ID3,0.6,2,0.296
subsample,2,16,False,hard,125,ID3,0.6,3,0.296
subsample,2,16,False,hard,125,ID3,0.6,4,0.384
subsample,2,16,False,hard,125,ID3,0.8,0,0.288
subsample,2,16,False,hard,125,ID3,0.8,1,0.376
subsample,2,16,False,hard,125,ID3,0.8,2,0.32
subsample,2,16,False,hard,125,ID3,0.8,3,0.312
subsample,2,16,False,hard,125,ID3,0.8,4,0.304
subsample,2,16,False,hard,125,ID3,1.0,0,0.344
subsample,2,16,False,hard,125,ID3,1.0,1,0.36
subsample,2,16,False,hard,125,ID3,1.0,2,0.328
subsample,2,16,False,hard,125,ID3,1.0,3,0.336
subsample,2,16,False,hard,125,ID3,1.0,4,0.368
subsample,2,16,False,hard,125,ID3,2.0,0,0.384
subsample,2,16,False,hard,125,ID3,2.0,1,0.304
subsample,2,16,False,hard,125,ID3,2.0,2,0.336
subsample,2,16,False,hard,125,ID3,2.0,3,0.336
subsample,2,16,False,hard,125,ID3,2.0,4,0.296
subsample,2,16,True,weight,125,ID3,0.4,0,0.488
subsample,2,16,True,weight,125,ID3,0.4,1,0.48
subsample,2,16,True,weight,125,ID3,0.4,2,0.472
subsample,2,16,True,weight,125,ID3,0.4,3,0.464
subsample,2,16,True,weight,125,ID3,0.4,4,0.488
subsample,2,16,True,weight,125,ID3,0.6,0,0.512
subsample,2,16,True,weight,125,ID3,0.6,1,0.544
subsample,2,16,True,weight,125,ID3,0.6,2,0.576
subsample,2,16,True,weight,125,ID3,0.6,3,0.464
subsample,2,16,True,weight,125,ID3,0.6,4,0.456
subsample,2,16,True,weight,125,ID3,0.8,0,0.696
subsample,2,16,True,weight,125,ID3,0.8,1,0.64
subsample,2,16,True,weight,125,ID3,0.8,2,0.64
subsample,2,16,True,weight,125,ID3,0.8,3,0.592
subsample,2,16,True,weight,125,ID3,0.8,4,0.6
subsample,2,16,True,weight,125,ID3,1.0,0,0.656
subsample,2,16,True,weight,125,ID3,1.0,1,0.68
subsample,2,16,True,weight,125,ID3,1.0,2,0.736
subsample,2,16,True,weight,125,ID3,1.0,3,0.632
subsample,2,16,True,weight,125,ID3,1.0,4,0.72
subsample,2,16,True,weight,125,ID3,2.0,0,0.736
subsample,2,16,True,weight,125,ID3,2.0,1,0.76
subsample,2,16,True,weight,125,ID3,2.0,2,0.704
subsample,2,16,True,weight,125,ID3,2.0,3,0.712
subsample,2,16,True,weight,125,ID3,2.0,4,0.768
subsample,2,16,False,weight,125,ID3,0.4,0,0.272
subsample,2,16,False,weight,125,ID3,0.4,1,0.272
subsample,2,16,False,weight,125,ID3,0.4,2,0.352
subsample,2,16,False,weight,125,ID3,0.4,3,0.328
subsample,2,16,False,weight,125,ID3,0.4,4,0.256
subsample,2,16,False,weight,125,ID3,0.6,0,0.336
subsample,2,16,False,weight,125,ID3,0.6,1,0.328
subsample,2,16,False,weight,125,ID3,0.6,2,0.336
subsample,2,16,False,weight,125,ID3,0.6,3,0.36
subsample,2,16,False,weight,125,ID3,0.6,4,0.4
subsample,2,16,False,weight,125,ID3,0.8,0,0.368
subsample,2,16,False,weight,125,ID3,0.8,1,0.336
subsample,2,16,False,weight,125,ID3,0.8,2,0.352
subsample,2,16,False,weight,125,ID3,0.8,3,0.344
subsample,2,16,False,weight,125,ID3,0.8,4,0.4
subsample,2,16,False,weight,125,ID3,1.0,0,0.36
subsample,2,16,False,weight,125,ID3,1.0,1,0.368
subsample,2,16,False,weight,125,ID3,1.0,2,0.312
subsample,2,16,False,weight,125,ID3,1.0,3,0.336
subsample,2,16,False,weight,125,ID3,1.0,4,0.304
subsample,2,16,False,weight,125,ID3,2.0,0,0.296
subsample,2,16,False,weight,125,ID3,2.0,1,0.328
subsample,2,16,False,weight,125,ID3,2.0,2,0.368
subsample,2,16,False,weight,125,ID3,2.0,3,0.36
subsample,2,16,False,weight,125,ID3,2.0,4,0.432
