method,depth,n_estimators,optimize,voting,n_samples,alg,eps,run,acc
subsample,6,16,False,weight,9045,ID3,0.01,4,0.4873410724156993
subsample,6,16,False,weight,9045,ID3,0.05,0,0.5066887783305694
subsample,6,16,False,weight,9045,ID3,0.05,1,0.5043670536207849
subsample,6,16,False,weight,9045,ID3,0.05,2,0.49386401326699836
subsample,6,16,False,weight,9045,ID3,0.05,3,0.5101160862354892
subsample,6,16,False,weight,9045,ID3,0.05,4,0.5037037037037037
subsample,6,16,False,weight,9045,ID3,0.1,0,0.4976229961304588
subsample,6,16,False,weight,9045,ID3,0.1,1,0.49950248756218907
subsample,6,16,False,weight,9045,ID3,0.1,2,0.4957435046987286
subsample,6,16,False,weight,9045,ID3,0.1,3,0.48524046434494195
subsample,6,16,False,weight,9045,ID3,0.1,4,0.5052515201768933
subsample,6,16,False,weight,9045,ID3,0.5,0,0.5009397457158651
subsample,6,16,False,weight,9045,ID3,0.5,1,0.5010503040353786
subsample,6,16,False,weight,9045,ID3,0.5,2,0.5066887783305694
subsample,6,16,False,weight,9045,ID3,0.5,3,0.5058043117744611
subsample,6,16,False,weight,9045,ID3,0.5,4,0.4974018794914317
subsample,6,16,False,weight,9045,ID3,1.0,0,0.5034825870646766
subsample,6,16,False,weight,9045,ID3,1.0,1,0.5087893864013266
subsample,6,16,False,weight,9045,ID3,1.0,2,0.5002763957987839
subsample,6,16,False,weight,9045,ID3,1.0,3,0.5091210613598673
subsample,6,16,False,weight,9045,ID3,1.0,4,0.4945273631840796
