method,depth,n_estimators,optimize,voting,n_samples,alg,eps,run,acc
subsample,4,16,True,hard,5,ID3,2.0,0,0.6
subsample,4,16,True,hard,5,ID3,2.0,1,0.6
subsample,4,16,True,hard,5,ID3,2.0,2,1.0
subsample,4,16,True,hard,5,ID3,2.0,3,0.8
subsample,4,16,True,hard,5,ID3,2.0,4,0.8
subsample,4,16,False,hard,5,ID3,2.0,0,0.8
subsample,4,16,False,hard,5,ID3,2.0,1,0.8
subsample,4,16,False,hard,5,ID3,2.0,2,0.6
subsample,4,16,False,hard,5,ID3,2.0,3,0.8
subsample,4,16,False,hard,5,ID3,2.0,4,0.8
subsample,4,16,True,weight,5,ID3,2.0,0,0.4
subsample,4,16,True,weight,5,ID3,2.0,1,0.6
subsample,4,16,True,weight,5,ID3,2.0,2,0.8
subsample,4,16,True,weight,5,ID3,2.0,3,0.6
subsample,4,16,True,weight,5,ID3,2.0,4,0.8
subsample,4,16,False,weight,5,ID3,2.0,0,0.6
subsample,4,16,False,weight,5,ID3,2.0,1,0.6
subsample,4,16,False,weight,5,ID3,2.0,2,0.6
subsample,4,16,False,weight,5,ID3,2.0,3,0.8
subsample,4,16,False,weight,5,ID3,2.0,4,0.6
batch,4,16,True,weight,5,ID3,2.0,0,1.0
batch,4,16,True,weight,5,ID3,2.0,1,1.0
batch,4,16,True,weight,5,ID3,2.0,2,1.0
batch,4,16,True,weight,5,ID3,2.0,3,0.8
batch,4,16,True,weight,5,ID3,2.0,4,1.0
batch,4,16,False,weight,5,ID3,2.0,0,0.8
batch,4,16,False,weight,5,ID3,2.0,1,0.6
batch,4,16,False,weight,5,ID3,2.0,2,0.6
batch,4,16,False,weight,5,ID3,2.0,3,0.8
batch,4,16,False,weight,5,ID3,2.0,4,0.8
subsample,4,16,True,hard,10,ID3,2.0,0,0.9
subsample,4,16,True,hard,10,ID3,2.0,1,1.0
subsample,4,16,True,hard,10,ID3,2.0,2,1.0
subsample,4,16,True,hard,10,ID3,2.0,3,0.9
subsample,4,16,True,hard,10,ID3,2.0,4,0.8
subsample,4,16,False,hard,10,ID3,2.0,0,0.7
subsample,4,16,False,hard,10,ID3,2.0,1,0.6
subsample,4,16,False,hard,10,ID3,2.0,2,0.5
subsample,4,16,False,hard,10,ID3,2.0,3,0.7
subsample,4,16,False,hard,10,ID3,2.0,4,0.9
subsample,4,16,True,weight,10,ID3,2.0,0,1.0
subsample,4,16,True,weight,10,ID3,2.0,1,0.7
subsample,4,16,True,weight,10,ID3,2.0,2,1.0
subsample,4,16,True,weight,10,ID3,2.0,3,0.9
subsample,4,16,True,weight,10,ID3,2.0,4,0.9
subsample,4,16,False,weight,10,ID3,2.0,0,0.7
subsample,4,16,False,weight,10,ID3,2.0,1,0.9
subsample,4,16,False,weight,10,ID3,2.0,2,0.3
subsample,4,16,False,weight,10,ID3,2.0,3,0.6
subsample,4,16,False,weight,10,ID3,2.0,4,0.6
batch,4,16,True,weight,10,ID3,2.0,0,1.0
batch,4,16,True,weight,10,ID3,2.0,1,1.0
batch,4,16,True,weight,10,ID3,2.0,2,1.0
batch,4,16,True,weight,10,ID3,2.0,3,1.0
batch,4,16,True,weight,10,ID3,2.0,4,1.0
batch,4,16,False,weight,10,ID3,2.0,0,0.7
batch,4,16,False,weight,10,ID3,2.0,1,0.6
batch,4,16,False,weight,10,ID3,2.0,2,0.9
batch,4,16,False,weight,10,ID3,2.0,3,0.7
batch,4,16,False,weight,10,ID3,2.0,4,0.6
subsample,4,16,True,hard,50,ID3,2.0,0,0.58
subsample,4,16,True,hard,50,ID3,2.0,1,0.64
subsample,4,16,True,hard,50,ID3,2.0,2,0.68
subsample,4,16,True,hard,50,ID3,2.0,3,0.74
subsample,4,16,True,hard,50,ID3,2.0,4,0.56
subsample,4,16,False,hard,50,ID3,2.0,0,0.32
subsample,4,16,False,hard,50,ID3,2.0,1,0.38
subsample,4,16,False,hard,50,ID3,2.0,2,0.2
subsample,4,16,False,hard,50,ID3,2.0,3,0.3
subsample,4,16,False,hard,50,ID3,2.0,4,0.3
subsample,4,16,True,weight,50,ID3,2.0,0,0.86
subsample,4,16,True,weight,50,ID3,2.0,1,0.8
subsample,4,16,True,weight,50,ID3,2.0,2,0.84
subsample,4,16,True,weight,50,ID3,2.0,3,0.9
subsample,4,16,True,weight,50,ID3,2.0,4,0.84
subsample,4,16,False,weight,50,ID3,2.0,0,0.34
subsample,4,16,False,weight,50,ID3,2.0,1,0.28
subsample,4,16,False,weight,50,ID3,2.0,2,0.46
subsample,4,16,False,weight,50,ID3,2.0,3,0.3
subsample,4,16,False,weight,50,ID3,2.0,4,0.34
batch,4,16,True,weight,50,ID3,2.0,0,0.86
batch,4,16,True,weight,50,ID3,2.0,1,0.86
batch,4,16,True,weight,50,ID3,2.0,2,0.94
batch,4,16,True,weight,50,ID3,2.0,3,0.86
batch,4,16,True,weight,50,ID3,2.0,4,0.9
batch,4,16,False,weight,50,ID3,2.0,0,0.34
batch,4,16,False,weight,50,ID3,2.0,1,0.28
batch,4,16,False,weight,50,ID3,2.0,2,0.34
batch,4,16,False,weight,50,ID3,2.0,3,0.34
batch,4,16,False,weight,50,ID3,2.0,4,0.26
subsample,4,16,True,hard,100,ID3,2.0,0,0.68
subsample,4,16,True,hard,100,ID3,2.0,1,0.68
subsample,4,16,True,hard,100,ID3,2.0,2,0.66
subsample,4,16,True,hard,100,ID3,2.0,3,0.76
subsample,4,16,True,hard,100,ID3,2.0,4,0.67
subsample,4,16,False,hard,100,ID3,2.0,0,0.28
subsample,4,16,False,hard,100,ID3,2.0,1,0.28
subsample,4,16,False,hard,100,ID3,2.0,2,0.24
subsample,4,16,False,hard,100,ID3,2.0,3,0.25
subsample,4,16,False,hard,100,ID3,2.0,4,0.3
subsample,4,16,True,weight,100,ID3,2.0,0,0.78
subsample,4,16,True,weight,100,ID3,2.0,1,0.84
